Manufacturer,Model,Year,Fuel_Type,Original_Price_ILS,Current_Price_ILS,Mileage_km,Hand,Ownership_Type
Mazda,Mazda 3,2021,Petrol,150000,149724,48440,3,Private
Tesla,Model 3,2021,Electric,200000,119222,55594,3,Private
Skoda,Octavia,2019,Petrol,160000,110527,87682,2,Private
Toyota,Corolla,2020,Hybrid,155000,120128,69671,3,Private
Kia,Sportage,2021,Petrol,175000,20000,66797,3,Leasing
Geely,Geometry C,2024,Electric,155000,144667,1971,1,Private
Hyundai,Tucson,2019,Petrol,175000,121154,86996,3,Private
Renault,Megane,2024,Diesel,140000,131840,1000,1,Private
Hyundai,Tucson,2021,Petrol,175000,107576,55044,2,Private
Hyundai,Tucson,2019,Petrol,175000,175000,80201,2,Private
Renault,Megane,2023,Diesel,140000,140000,12954,2,Private
Geely,Geometry C,2021,Electric,155000,155000,46083,1,Private
Toyota,Corolla,2018,Hybrid,155000,56872,110910,3,Leasing
Mazda,Mazda 3,2019,Petrol,150000,50461,94438,1,Company
Hyundai,Tucson,2018,Petrol,175000,85241,107111,1,Leasing
Kia,Sportage,2018,Petrol,175000,103178,105948,3,Private
Toyota,Corolla,2022,Hybrid,155000,69143,43477,3,Private
Kia,Sportage,2024,Petrol,175000,138938,1690,1,Leasing
BYD,Atto 3,2023,Electric,165000,111573,19488,1,Leasing
Mazda,Mazda 3,2020,Petrol,150000,142025,66859,3,Private
Geely,Geometry C,2022,Electric,155000,89658,37285,2,Leasing
Mazda,Mazda 3,2021,Petrol,150000,98087,55572,1,Private
Geely,Geometry C,2020,Electric,155000,38388,78368,1,Private
Geely,Geometry C,2023,Electric,155000,143468,16540,1,Private
Renault,Megane,2024,Diesel,140000,131976,1000,1,Private
Toyota,Corolla,2019,Hybrid,155000,124277,87150,2,Private
Tesla,Model 3,2018,Electric,200000,95403,107678,3,Private
Kia,Sportage,2023,Petrol,175000,136975,19724,2,Private
Skoda,Octavia,2024,Petrol,160000,116374,5714,1,Private
Renault,Megane,2022,Diesel,140000,73022,39759,2,Private
Toyota,Corolla,2018,Hybrid,155000,119406,103047,1,Leasing
BYD,Atto 3,2020,Electric,165000,113463,69168,2,Private
Mazda,Mazda 3,2021,Petrol,150000,97425,53282,3,Company
Geely,Geometry C,2018,Electric,155000,34916,111085,2,Company
Kia,Sportage,2024,Petrol,175000,129640,5219,1,Private
Hyundai,Tucson,2018,Petrol,175000,53423,110632,2,Leasing
Mazda,Mazda 3,2018,Petrol,150000,35101,112824,3,Leasing
Toyota,Corolla,2021,Hybrid,155000,145910,48675,3,Company
Renault,Megane,2021,Diesel,140000,140000,44750,1,Private
Hyundai,Tucson,2019,Petrol,175000,46406,95843,2,Private
BYD,Atto 3,2018,Electric,165000,59380,107975,3,Leasing
Kia,Sportage,2023,Petrol,175000,173764,16083,1,Private
Skoda,Octavia,2022,Petrol,160000,72463,40552,3,Leasing
Toyota,Corolla,2022,Hybrid,155000,133109,35851,1,Private
Toyota,Corolla,2018,Hybrid,155000,80432,107942,2,Company
Geely,Geometry C,2022,Electric,155000,114045,36952,1,Private
Kia,Sportage,2021,Petrol,175000,140519,51737,1,Private
Kia,Sportage,2019,Petrol,175000,65482,93885,1,Private
Kia,Sportage,2023,Petrol,175000,139734,19154,2,Private
Hyundai,Tucson,2019,Petrol,175000,117859,85955,1,Leasing
Skoda,Octavia,2024,Petrol,160000,107671,4525,1,Leasing
Mazda,Mazda 3,2018,Petrol,150000,104129,104980,1,Private
