oid_ktovet,id_ktovet,k_rechov,t_rechov,ms_bayit,knisa,t_bayit_veknisa,t_ktovet_melea,x,y,ms_gush,ms_chelka,k_status_hesder,UniqueId,lon,lat,date_import,garbage,cleaning,gezem,recycle_blue,recycle_orange,t_rechov_eng,Longitude,Latitude
1,94343,982,קהילת קובנה,12,א,12א,קהילת קובנה 12א,183227.41,669088.95,6625,550,0,527-94343,34.820563,32.114581,13/03/2026 00:44:42,"א, ג, ה","ב,ג,ד, ו",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,QEHILAT KOVNA,34.82056280628372,32.114580538968504
2,88364,801,בני אפרים,231,א,231א,בני אפרים 231א,182852.66,669087.12,6625,632,0,527-88364,34.816593,32.114551,13/03/2026 00:44:42,"א, ג, ה",כל יום,בימים א' ו- ג' 06:00 - 18:00,ד,ו,BNEY EFRAYIM,34.81659217267685,32.11455195530735
3,94356,983,קהילת פוזנא,3,א,3א,קהילת פוזנא 3א,183109.86,669070.7,6625,558,0,527-94356,34.819319,32.114412,13/03/2026 00:44:42,"א, ג, ה","ב,ג,ד, ו",בימים א' ו- ג' 06:00 - 18:00,ד,ג,Kehillat Pozna,34.81931801735032,32.11441218426254
4,98172,2039,אנדרסן,12, ,12 ,אנדרסן 12 ,180855.32,669067.98,6649,308,0,527-98172,34.79543,32.114311,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ג,א,ANDERSEN,34.7954300030585,32.114312774254564
5,98301,2053,ברגסון,6, ,6 ,ברגסון 6 ,180803.69,669040.28,6649,310,0,527-98301,34.794884,32.114059,13/03/2026 00:44:42,"א, ג, ה","ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ג,א,BERGSON,34.79488404067246,32.11406118802364
6,132905,829,פתחיה מרגנשבורג,11, ,11 ,פתחיה מרגנשבורג 11 ,183819.03,669039.15,6623,416,0,527-132905,34.826834,32.114152,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,ה,PETAHYA MEREGENSBURG,34.82683328480249,32.114150328744024
7,89832,829,פתחיה מרגנשבורג,16, ,16 ,פתחיה מרגנשבורג 16 ,183915.28,669032.09,6623,556,0,527-89832,34.827854,32.114091,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,PETAHYA MEREGENSBURG,34.827853370708624,32.11408967743484
8,94357,983,קהילת פוזנא,4, ,4 ,קהילת פוזנא 4 ,183145.77,669016.44,6625,863,0,527-94357,34.819701,32.113924,13/03/2026 00:44:42,"א, ג, ה","ב,ג,ד, ו",בימים א' ו- ג' 06:00 - 18:00,ד,ג,Kehillat Pozna,34.819700516937324,32.113923987208736
9,100381,2215,גרינברג אורי צבי,13, ,13 ,גרינברג אורי צבי 13 ,180801.6,670886.2,6620,18,0,527-100381,34.794788,32.130705,13/03/2026 00:44:42,כל השבוע,"א, ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ב,ה,GREENBERG,34.79478758989903,32.13070706729435
10,100512,2223,אביגור,11, ,11 ,אביגור 11 ,180728.78,670847.19,6620,22,0,527-100512,34.794018,32.130351,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת גרינברג אורי צבי 5,ב,ה,AVIGUR,34.79401745626643,32.130352737152705
11,100377,2215,גרינברג אורי צבי,9, ,9 ,גרינברג אורי צבי 9 ,180813.48,670806.42,6620,19,0,527-100377,34.794917,32.129986,13/03/2026 00:44:42,כל השבוע,"א, ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ב,ה,GREENBERG,34.794916649202726,32.12998803229357
12,100036,2192,דרזנר יחיאל,51, ,51 ,דרזנר יחיאל 51 ,181931.78,670497.7,6628,730,0,527-100036,34.806781,32.12724,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.806779807379506,32.1272418775749
13,100039,2192,דרזנר יחיאל,57, ,57 ,דרזנר יחיאל 57 ,181956.21,670493.67,6628,731,0,527-100039,34.80704,32.127205,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.80703876514932,32.12720633703678
14,135786,2192,דרזנר יחיאל,55, ,55 ,דרזנר יחיאל 55 ,181950.22,670491.81,6628,731,0,527-135786,34.806976,32.127188,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.80697542083794,32.12718937138611
15,100006,2192,דרזנר יחיאל,8, ,8 ,דרזנר יחיאל 8 ,181877.1,670449.5,6628,641,0,527-100006,34.806203,32.126804,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,DREZNER DOV,34.80620216888277,32.126805374449525
16,100271,2207,קשאני אליעזר,11, ,11 ,קשאני אליעזר 11 ,181752.33,670438.31,6628,633,0,527-100271,34.804881,32.126699,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ב,KASHANI,34.804880467144436,32.12670032388278
17,100113,2196,אלקחי מרדכי,37, ,37 ,אלקחי מרדכי 37 ,182117.88,670381.83,6628,654,0,527-100113,34.808757,32.126202,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,ELQAHI,34.80875636299137,32.1262031295942
18,90771,854,עמרי,4,א,4א,עמרי 4א,182604.02,669105.67,6627,240,0,527-90771,34.813958,32.11471,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,OMRI,34.81395696475979,32.114711110924475
19,98166,2039,אנדרסן,5, ,5 ,אנדרסן 5 ,180826.57,669104.87,7223,19,0,527-98166,34.795124,32.114643,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ג,א,ANDERSEN,34.79512389681308,32.114644459434004
20,98168,2039,אנדרסן,7, ,7 ,אנדרסן 7 ,180863.07,669099.9,7223,20,0,527-98168,34.795511,32.114599,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ג,א,ANDERSEN,34.795510835365164,32.11460090158844
