oid_mitkan,ms_miklat,k_sug,t_sug,k_rechov,shem_recho,ms_bait,knisa,Full_Address,shem_rechov_eng,shetach_mr,k_sinon,t_sinon,hearot,h_sug,x_coord,y_coord,lon,lat,shem_baalim,shem,pail,from_time,to_time,opening_times,url_tik,telephone_henion,maneger_name,email,celolar,is_open,UniqueId,date_import,miklat_mungash
10608,906,1.0,מקלט ציבורי,3600.0,שדרות גורי ישראל,31, ,שדרות גורי ישראל 31 ,GURI YISRA'EL       ,100.0,1.0,מערכת סינון,"המקלט נמצא בצמוד למרכז השיטור הקהילתי, מול המרכז המסחרי (בנק הפועלים) בגורי 34, בקדמת גן ""קרלה לואיס"".",לא,179359.54036946,661124.94950906,34.77921563,32.0422646,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-174,13/03/2026 10:13:17,
10609,831,1.0,מקלט ציבורי,1021.0,דימונה,21, ,דימונה 21 ,DIMONA              ,75.0,1.0,מערכת סינון,המקלט נמצא מול בית מספר 30 בסמוך לגן הדולפינריום. המקלט יכול לשמש גם את תושבי רחוב יפתח 16-20 דרך גן הדולפינריום וגם את רחוב הגיבור האלמוני 34-36.,לא,181141.73889968,662786.77186837,34.79801804,32.05731255,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-263,13/03/2026 10:13:17,
10610,304,1.0,מקלט ציבורי,237.0,מנדלשטם,9, ,מנדלשטם 9 ,MANDELSTAMM         ,75.0,1.0,"מקלט מוגן אב""כ",המקלט נמצא בגינת וינר. הכניסה למקלט בין בניינים 11 ו-7 בתוך הגינה.,לא,179064.68695085,666447.56006566,34.77587011,32.09025232,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-60,13/03/2026 10:13:17,
10611,63,4.0,חניון מחסה לציבור,54.0,מנחם בגין,46, ,מנחם בגין 46 ,BEGIN  MENAHEM           ,25670.0,0.0,ללא מערכת סינון,, ,179439.60548313,663358.86068058,34.77997029,32.06241246,נכסי אריאל מגדלי א.י.,מגדלי אביב,כשיר לשימוש,,,06:30 עד 23:00,\\nas01\gis_users\herum\gdb\תיקי חניון ממוחשבים\מגדלי אביב,03-6374461,עמליה,,054-8145041,כן,592-402,13/03/2026 10:13:17,
10612,612,2.0,מקלט ציבורי במוסדות חינוך,16.0,בלפור,12, ,בלפור 12 ,BALFOUR             ,120.0,1.0,"מקלט מוגן אב""כ","המקלט נמצא בשטח ביה""ס ""בלפור"". כניסה דרך השער הראשי, חוצים את מבנה בית הספר ומשמאל, בקצה מגרש הכדורסל נמצאת הכניסה למקלט.",כן,178768.56553045,663877.57741701,34.77284228,32.06706614,,בית ספר בלפור,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-160,13/03/2026 10:13:17,
10613,204,2.0,מקלט ציבורי במוסדות חינוך,2039.0,אנדרסן,22, ,אנדרסן 22 ,ANDERSEN            ,75.0,0.0,ללא מערכת סינון,"המקלט נמצא בתוך שטח בי""ס ""ניצנים"". כניסה משער ראשי ימינה,מול מגרשי הכדורסל. גישה נוספת מרחוב בארט אהרון 9, מול הבניין קיים שער פשפש של ביה""ס שנפתח ידנית בזמן חירום.",כן,181048.0717667,669030.44073262,34.79677627,32.11361349,,בית ספר ניצנים ,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-384,13/03/2026 10:13:17,
10614,1039,2.0,מקלט ציבורי במוסדות חינוך,3704.0,"שז""ר זלמן",39, ,"שז""ר זלמן 39 ",ZALMAN SHAZAR       ,216.0,1.0,מערכת סינון,"המקלט נמצא בשטח ביה""ס ""בנות ציפורה"" ולו 2 כניסות עיקריות. הכניסה הראשית דרך שער בית הספר ישר וימינה בין מבנה גן הילדים לביה""ס עד לכניסה. כניסה 2 מהרחוב דרך השער עם הקוד למבנה גן הילדים וגן המשחקים.",כן,177889.19528199,660742.58896621,34.76366522,32.03876337,,"בית ספר רש""י בנות",כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-230,13/03/2026 10:13:17,
10615,203,1.0,מקלט ציבורי,991.0,ברודי חיים,10, ,ברודי חיים 10 ,BRODIE              ,130.0,1.0,"מקלט מוגן אב""כ","גישה למקלט בין בניינים 10 ו-12 בשביל לתוך הגינה. גישה נוספת מרחוב כפר יונה 19, בין בניינים 19 ו-21 יש שביל למקלט.",לא,181330.75516803,668600.17012176,34.79978857,32.10974302,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-393,13/03/2026 10:13:17,
10616,125,1.0,מקלט ציבורי,810.0,מיזאן,19, ,מיזאן 19 ,MEYZAN              ,100.0,1.0,"מקלט מוגן אב""כ",המקלט נמצא בגינה בין בניינים 19 ו-21. ניתן להגיע גם דרך רחוב רומנו מרדכי בשביל בין בניינים 20 ו-22.,לא,182846.05331933,669715.22070482,34.81580069,32.11984858,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-274,13/03/2026 10:13:17,
10617,302,1.0,מקלט ציבורי,240.0,מוצקין,13, ,מוצקין 13 ,MOTZKIN             ,120.0,1.0,"מקלט מוגן אב""כ",בשדרה מול בניין מספר 13,לא,178919.08774414,666461.67008569,34.77432721,32.09037433,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-191,13/03/2026 10:13:17,
